0	0.943	6.6	11.2	8.8	0.63
1	1.33	7.4	10.6	8.7	0.613
2	1.66	7.8	10.1	8.5	0.61
3	2.04	5.4	9.7	8.25	0.616
4	2.28	8.2	9.3	8.1	0.623
5	2.46	8.3	9	8.15	0.636
6	2.51	8.3	8.8	8.4	0.651
7	2.4	8.2	8.8	8.65	0.66
8	2.2	8.1	9	8.85	0.68
9	1.9	7.9	9.3	8.9	0.795
10	1.58	7.6	9.7	8.8	0.702
11	1.21	7.1	10.2	8.9	0.708
12	0.91	5.9	10.8	8.95	0.707
13	0.58	4.1	11.1	9	0.697
14	0.4	1.8	11.4	9.2	0.686
15	0.35	1.2	11.5	9.1	0.673
16	0.45	2.8	11.6	9	0.657
17	0.66	5	11.4	8.9	0.643
18	0.67	6.4	11	8.8	0.63
19	1.35	7.3	10.6	8.6	0.621
20	1.7	7.4	10.1	8.4	0.62
21	2.02	7.7	9.6	8.15	0.621
22	2.33	7.8	9.2	8	0.629
23	2.51	7.9	8.9	8.05	0.64
24	2.52	7.9	8.7	8.3	0.652
25	2.41	7.8	8.8	8.6	0.66
26	2.22	7.7	9	8.7	0.664
27	1.92	7.6	9.3	8.9	0.682
28	1.56	7.3	9.7	9	0.694
29	1.18	6.7	10.1	9.05	0.698
30	0.86	5.4	10.6	9.1	0.69
31	0.58	3.2	11	9.1	0.68
32	0.42	1	11.4	9.1	0.679
33	0.36	1.1	11.6	9.05	0.665
34	0.45	2.2	11.6	9	0.653
35	0.67	4.9	11.4	8.9	0.637
36	0.98	4.4	11	8.75	0.623
